DOMAIN;SUBSITE;TAG;LINK
https://sites.google.com/view/qr-groupe-seb/;TANQUES/;100-TK-01;https://sites.google.com/view/qr-groupe-seb/TANQUES/100-TK-01
https://sites.google.com/view/qr-groupe-seb/;TANQUES/;100-TK-02;https://sites.google.com/view/qr-groupe-seb/TANQUES/100-TK-02
https://sites.google.com/view/qr-groupe-seb/;TANQUES/;100-TK-03;https://sites.google.com/view/qr-groupe-seb/TANQUES/100-TK-03
https://sites.google.com/view/qr-groupe-seb/;TANQUES/;400-R-01;https://sites.google.com/view/qr-groupe-seb/TANQUES/400-R-01
https://sites.google.com/view/qr-groupe-seb/;TANQUES/;500-TK-02;https://sites.google.com/view/qr-groupe-seb/TANQUES/500-TK-02
https://sites.google.com/view/qr-groupe-seb/;TANQUES/;805-TK-01;https://sites.google.com/view/qr-groupe-seb/TANQUES/805-TK-01
https://sites.google.com/view/qr-groupe-seb/;TANQUES/;801-TK-01;https://sites.google.com/view/qr-groupe-seb/TANQUES/801-TK-01
https://sites.google.com/view/qr-groupe-seb/;TANQUES/;800-TK-01;https://sites.google.com/view/qr-groupe-seb/TANQUES/800-TK-01
https://sites.google.com/view/qr-groupe-seb/;TANQUES/;807-TK-01;https://sites.google.com/view/qr-groupe-seb/TANQUES/807-TK-01
https://sites.google.com/view/qr-groupe-seb/;TANQUES/;808-TK-01;https://sites.google.com/view/qr-groupe-seb/TANQUES/808-TK-01
