TAG;PREFIX;LINK
000-TK-01;;https://sites.google.com/view/mccain-tags/mccain/equipos/000-TK-01
000-TK-02;;https://sites.google.com/view/mccain-tags/mccain/equipos/000-TK-02
000-TK-03;;https://sites.google.com/view/mccain-tags/mccain/equipos/000-TK-03
000-PS-01;;https://sites.google.com/view/mccain-tags/mccain/equipos/000-PS-01
100-TK-01;;https://sites.google.com/view/mccain-tags/mccain/equipos/100-TK-01
100-TK-02;;https://sites.google.com/view/mccain-tags/mccain/equipos/100-TK-02
100-TK-03;;https://sites.google.com/view/mccain-tags/mccain/equipos/100-TK-03
100-TK-04;;https://sites.google.com/view/mccain-tags/mccain/equipos/100-TK-04
400-TK-01;;https://sites.google.com/view/mccain-tags/mccain/equipos/400-TK-01
600-TK-01;;https://sites.google.com/view/mccain-tags/mccain/equipos/600-TK-01
600-TK-02;;https://sites.google.com/view/mccain-tags/mccain/equipos/600-TK-02
600-TK-03;;https://sites.google.com/view/mccain-tags/mccain/equipos/600-TK-03
000-PS-02;;https://sites.google.com/view/mccain-tags/mccain/equipos/000-PS-02
000-PS-03;;https://sites.google.com/view/mccain-tags/mccain/equipos/000-PS-03
100-PS-01;;https://sites.google.com/view/mccain-tags/mccain/equipos/100-PS-01
800-TK-01;;https://sites.google.com/view/mccain-tags/mccain/equipos/800-TK-01
800-TK-02;;https://sites.google.com/view/mccain-tags/mccain/equipos/800-TK-02
801-TK-01;;https://sites.google.com/view/mccain-tags/mccain/equipos/801-TK-01
802-TK-01;;https://sites.google.com/view/mccain-tags/mccain/equipos/802-TK-01
802-TK-02;;https://sites.google.com/view/mccain-tags/mccain/equipos/802-TK-02
450-PS-01;;https://sites.google.com/view/mccain-tags/mccain/equipos/450-PS-01
200-PS-01;;https://sites.google.com/view/mccain-tags/mccain/equipos/200-PS-01
802-TK-03;;https://sites.google.com/view/mccain-tags/mccain/equipos/802-TK-03
802-TK-04;;https://sites.google.com/view/mccain-tags/mccain/equipos/802-TK-04
802-TK-05;;https://sites.google.com/view/mccain-tags/mccain/equipos/802-TK-05
807-TK-01;;https://sites.google.com/view/mccain-tags/mccain/equipos/807-TK-01
400-C-01;;https://sites.google.com/view/mccain-tags/mccain/equipos/400-C-01
400-C-02;;https://sites.google.com/view/mccain-tags/mccain/equipos/400-C-02
400-C-03;;https://sites.google.com/view/mccain-tags/mccain/equipos/400-C-03
400-C-04;;https://sites.google.com/view/mccain-tags/mccain/equipos/400-C-04
100-C-03;;https://sites.google.com/view/mccain-tags/mccain/equipos/100-C-03
100-TE-01;;https://sites.google.com/view/mccain-tags/mccain/equipos/100-TE-01
100-TE-02;;https://sites.google.com/view/mccain-tags/mccain/equipos/100-TE-02
600-M-01;;https://sites.google.com/view/mccain-tags/mccain/equipos/600-M-01
803-M-01;;https://sites.google.com/view/mccain-tags/mccain/equipos/803-M-01
100-OGT-01;;https://sites.google.com/view/mccain-tags/mccain/equipos/100-OGT-01
400-R-02;;https://sites.google.com/view/mccain-tags/mccain/equipos/400-R-02
400-R-01;;https://sites.google.com/view/mccain-tags/mccain/equipos/400-R-01
600-SD-01;;https://sites.google.com/view/mccain-tags/mccain/equipos/600-SD-01
450-CH-01;;https://sites.google.com/view/mccain-tags/mccain/equipos/450-CH-01
100-PS-01;;https://sites.google.com/view/mccain-tags/mccain/equipos/100-PS-01
