TAG;PREFIX;LINK
PI-002;;https://sites.google.com/view/qr-aris/aris-minning/wtp/tanks/BLLO-0002
BLLO-0002;;https://sites.google.com/view/qr-aris/aris-minning/wtp/tanks/BLLO-0002
BLLO-0003;;https://sites.google.com/view/qr-aris/aris-minning/wtp/tanks/BLLO-0003
CEFL-0008;;https://sites.google.com/view/qr-aris/aris-minning/wtp/tanks/CEFL-0008
COSC-0005;;https://sites.google.com/view/qr-aris/aris-minning/wtp/tanks/COSC-0005
D-200-CH-01;;https://sites.google.com/view/qr-aris/aris-minning/DETOX/TANKS/D-200-CH-01
DELO-0001;;https://sites.google.com/view/qr-aris/aris-minning/wtp/tanks/DELO-0001
DELO-0002;;https://sites.google.com/view/qr-aris/aris-minning/wtp/tanks/DELO-0002
DELO-0003;;https://sites.google.com/view/qr-aris/aris-minning/wtp/tanks/DELO-0003
FSML-0001;;https://sites.google.com/view/qr-aris/aris-minning/wtp/tanks/FSML-0001
FSML-0002;;https://sites.google.com/view/qr-aris/aris-minning/wtp/tanks/FSML-0002
PUCE-0050;;https://sites.google.com/view/qr-aris/aris-minning/wtp/pumps/PUCE-0050
PUCE-0051;;https://sites.google.com/view/qr-aris/aris-minning/wtp/pumps/PUCE-0051
PUCE-0052;;https://sites.google.com/view/qr-aris/aris-minning/wtp/pumps/PUCE-0052
PUCE-0053;;https://sites.google.com/view/qr-aris/aris-minning/wtp/pumps/PUCE-0053
PUCE-0054;;https://sites.google.com/view/qr-aris/aris-minning/wtp/pumps/PUCE-0054
PUCE-0055;;https://sites.google.com/view/qr-aris/aris-minning/wtp/pumps/PUCE-0055
PUCE-0056;;https://sites.google.com/view/qr-aris/aris-minning/wtp/pumps/PUCE-0056
PUCE-0058;;https://sites.google.com/view/qr-aris/aris-minning/wtp/pumps/PUCE-0058
PUEL-0001;;https://sites.google.com/view/qr-aris/aris-minning/wtp/pumps/PUEL-0001
PUNE-0001;;https://sites.google.com/view/qr-aris/aris-minning/DETOX/pumps/PUNE-0001
PUNE-0002;;https://sites.google.com/view/qr-aris/aris-minning/DETOX/pumps/PUNE-0002
PUNE-0003;;https://sites.google.com/view/qr-aris/aris-minning/DETOX/pumps/PUNE-0003
PUPE-0010;;https://sites.google.com/view/qr-aris/aris-minning/wtp/pumps/PUPE-0010
PUPE-0011;;https://sites.google.com/view/qr-aris/aris-minning/wtp/pumps/PUPE-0011
PUPE-0012;;https://sites.google.com/view/qr-aris/aris-minning/wtp/pumps/PUPE-0012
PUPE-0013;;https://sites.google.com/view/qr-aris/aris-minning/wtp/pumps/pupe-0013
PUPE-0014;;https://sites.google.com/view/qr-aris/aris-minning/DETOX/pumps/PUPE-0014
PUPR-0003;;https://sites.google.com/view/qr-aris/aris-minning/wtp/pumps/PUPR-0003
PUPR-0004;;https://sites.google.com/view/qr-aris/aris-minning/wtp/pumps/PUPR-0004
PUPR-0005;;https://sites.google.com/view/qr-aris/aris-minning/wtp/pumps/PUPR-0005
PUPR-0006;;https://sites.google.com/view/qr-aris/aris-minning/wtp/pumps/PUPR-0006
PUPR-0007;;https://sites.google.com/view/qr-aris/aris-minning/wtp/pumps/PUPR-0007
PUPR-0008;;https://sites.google.com/view/qr-aris/aris-minning/wtp/pumps/PUPR-0008
PUPR-0009;;https://sites.google.com/view/qr-aris/aris-minning/wtp/pumps/PUPR-0009
SIDO-0001;;https://sites.google.com/view/qr-aris/aris-minning/wtp/tanks/SIDO-0001
STPR-0001;;https://sites.google.com/view/qr-aris/aris-minning/wtp/tanks/STPR-0001
STPR-0002;;https://sites.google.com/view/qr-aris/aris-minning/wtp/tanks/STPR-0002
STPR-0003;;https://sites.google.com/view/qr-aris/aris-minning/wtp/tanks/STPR-0003
TAAC-0001;;https://sites.google.com/view/qr-aris/aris-minning/wtp/tanks/TAAC-0001
TAAC-0002;;https://sites.google.com/view/qr-aris/aris-minning/wtp/tanks/TAAC-0002
TAAC-0003;;https://sites.google.com/view/qr-aris/aris-minning/wtp/tanks/TAAC-0003
TAAC-0004;;https://sites.google.com/view/qr-aris/aris-minning/wtp/tanks/TAAC-0004
TAAC-0005;;https://sites.google.com/view/qr-aris/aris-minning/wtp/tanks/TAAC-0005
TAAG-0015;;https://sites.google.com/view/qr-aris/aris-minning/DETOX/TANKS/TAAG-0015
TAAG-0016;;https://sites.google.com/view/qr-aris/aris-minning/DETOX/TANKS/TAAG-0016
TAAG-0017;;https://sites.google.com/view/qr-aris/aris-minning/DETOX/TANKS/TAAG-0017
TAAG-0018;;https://sites.google.com/view/qr-aris/aris-minning/wtp/tanks/TAAG-0018
TAAG-0019;;https://sites.google.com/view/qr-aris/aris-minning/wtp/tanks/TAAG-0019
TAAG-0020;;https://sites.google.com/view/qr-aris/aris-minning/DETOX/TANKS/TAAG-0020
TAAG-0021;;https://sites.google.com/view/qr-aris/aris-minning/wtp/tanks/TAAG-0021
TAAG-0022;;https://sites.google.com/view/qr-aris/aris-minning/wtp/tanks/TAAG-0022
TAAG-0023;;https://sites.google.com/view/qr-aris/aris-minning/wtp/tanks/TAAG-0023
TAAG-0024;;https://sites.google.com/view/qr-aris/aris-minning/wtp/tanks/TAAG-0024
TAAG-0025;;https://sites.google.com/view/qr-aris/aris-minning/wtp/tanks/TAAG-0025
TAAL-0004;;https://sites.google.com/view/qr-aris/aris-minning/wtp/tanks/TAAL-0004
TAAL-0005;;https://sites.google.com/view/qr-aris/aris-minning/wtp/tanks/TAAL-0005
TACL-0002;;https://sites.google.com/view/qr-aris/aris-minning/wtp/tanks/TACL-0002
TADO-0003;;https://sites.google.com/view/qr-aris/aris-minning/wtp/tanks/TADO-0003
TADO-0004;;https://sites.google.com/view/qr-aris/aris-minning/DETOX/TANKS/TADO-0004
TADO-0005;;https://sites.google.com/view/qr-aris/aris-minning/DETOX/TANKS/TADO-0005
TASC-0001;;https://sites.google.com/view/qr-aris/aris-minning/wtp/tanks/TASC-0001
TASC-0002;;https://sites.google.com/view/qr-aris/aris-minning/wtp/tanks/TASC-0002
TASC-0003;;https://sites.google.com/view/qr-aris/aris-minning/wtp/tanks/TASC-0003
TASC-0005;;https://sites.google.com/view/qr-aris/aris-minning/wtp/tanks/TASC-0005
TODO-0001;;https://sites.google.com/view/qr-aris/aris-minning/wtp/pumps/TODO-0001
VISL-0001;;https://sites.google.com/view/qr-aris/aris-minning/wtp/tanks/VISL-0001
WTP-200-CH-01;;https://sites.google.com/view/qr-aris/aris-minning/wtp/tanks/WTP-200-CH-01
TAAC-0006;;https://sites.google.com/view/qr-aris/aris-minning/wtp/tanks/TAAC-0006
