TAG;PREFIX;LINK
100-C-01;;https://sites.google.com/view/coltropicos/EQUIPOS/100-C-01
100-C-02;;https://sites.google.com/view/coltropicos/EQUIPOS/100-C-01
100-PS-01;;https://sites.google.com/view/coltropicos/EQUIPOS/100-PS-01
100-P-01-A;;https://sites.google.com/view/coltropicos/EQUIPOS/100-P-01A
100-P-01-B;;https://sites.google.com/view/coltropicos/EQUIPOS/100-P-01B
100-P-02;;https://sites.google.com/view/coltropicos/EQUIPOS/100-P-02
100-P-03;;https://sites.google.com/view/coltropicos/EQUIPOS/100-P-03
200-P-01;;https://sites.google.com/view/coltropicos/EQUIPOS/200-P-01
200-PS-01;;https://sites.google.com/view/coltropicos/EQUIPOS/200-PS-01
200-MX-01;;https://sites.google.com/view/coltropicos/EQUIPOS/200-MX-01
600-P-01;;https://sites.google.com/view/coltropicos/EQUIPOS/600-P-01
600-SD-01;;https://sites.google.com/view/coltropicos/EQUIPOS/600-SD-01
800-P-01;;https://sites.google.com/view/coltropicos/EQUIPOS/800-P-01
802-P-01;;https://sites.google.com/view/coltropicos/EQUIPOS/802-P-01
803-P-01;;https://sites.google.com/view/coltropicos/EQUIPOS/803-P-01
804-P-01;;https://sites.google.com/view/coltropicos/EQUIPOS/804-P-01
