TAG;PREFIX;LINK
600-P-03-A;;https://sites.google.com/view/mccain-tags/mccain/equipos/600-P-03-A
600-P-03-B;;https://sites.google.com/view/mccain-tags/mccain/equipos/600-P-03-B
000-P-03-A;;https://sites.google.com/view/mccain-tags/mccain/equipos/000-P-03-A
000-P-03-B;;https://sites.google.com/view/mccain-tags/mccain/equipos/000-P-03-B
100-P-01-A;;https://sites.google.com/view/mccain-tags/mccain/equipos/100-P-01-A
100-P-01-B;;https://sites.google.com/view/mccain-tags/mccain/equipos/100-P-01-B
100-P-04-A;;https://sites.google.com/view/mccain-tags/mccain/equipos/100-P-04-A
100-P-04-B;;https://sites.google.com/view/mccain-tags/mccain/equipos/100-P-04-B
100-P-05-A;;https://sites.google.com/view/mccain-tags/mccain/equipos/100-P-05-A
100-P-05-B;;https://sites.google.com/view/mccain-tags/mccain/equipos/100-P-05-B
200-P-01-A;;https://sites.google.com/view/mccain-tags/mccain/equipos/200-P-01-A
801-P-01;;https://sites.google.com/view/mccain-tags/mccain/equipos/801-P-01
200-P-01-B;;https://sites.google.com/view/mccain-tags/mccain/equipos/200-P-01-B
000-P-02-A;;https://sites.google.com/view/mccain-tags/mccain/equipos/000-P-02-A
000-P-02-B;;https://sites.google.com/view/mccain-tags/mccain/equipos/000-P-02-B
200-P-02-A;;https://sites.google.com/view/mccain-tags/mccain/equipos/200-P-02-A
200-P-02-B;;https://sites.google.com/view/mccain-tags/mccain/equipos/200-P-02-B
450-P-02-A;;https://sites.google.com/view/mccain-tags/mccain/equipos/450-P-02-A
450-P-02-B;;https://sites.google.com/view/mccain-tags/mccain/equipos/450-P-02-B
600-P-01-A;;https://sites.google.com/view/mccain-tags/mccain/equipos/600-P-01-A
600-P-01-B;;https://sites.google.com/view/mccain-tags/mccain/equipos/600-P-01-B
000-P-01-A;;https://sites.google.com/view/mccain-tags/mccain/equipos/000-P-01-A
000-P-01-B;;https://sites.google.com/view/mccain-tags/mccain/equipos/000-P-01-B
600-P-04;;https://sites.google.com/view/mccain-tags/mccain/equipos/600-P-04
800-P-01;;https://sites.google.com/view/mccain-tags/mccain/equipos/800-P-01
800-P-02;;https://sites.google.com/view/mccain-tags/mccain/equipos/800-P-02
801-P-02;;https://sites.google.com/view/mccain-tags/mccain/equipos/801-P-02
802-P-01;;https://sites.google.com/view/mccain-tags/mccain/equipos/802-P-01
802-P-02;;https://sites.google.com/view/mccain-tags/mccain/equipos/802-P-02
100-P-06-A;;https://sites.google.com/view/mccain-tags/mccain/equipos/100-P-06-A
100-P-06-B;;https://sites.google.com/view/mccain-tags/mccain/equipos/100-P-06-B
803-P-01;;https://sites.google.com/view/mccain-tags/mccain/equipos/803-P-01
807-P-01;;https://sites.google.com/view/mccain-tags/mccain/equipos/807-P-01
100-P-03-A;;https://sites.google.com/view/mccain-tags/mccain/equipos/100-P-03-A
100-P-03-B;;https://sites.google.com/view/mccain-tags/mccain/equipos/100-P-03-B
100-P-07;;https://sites.google.com/view/mccain-tags/mccain/equipos/100-P-07
100-P-02-A;;https://sites.google.com/view/mccain-tags/mccain/equipos/100-P-02-A
100-P-02-B;;https://sites.google.com/view/mccain-tags/mccain/equipos/100-P-02-B
600-MX-03;;https://sites.google.com/view/mccain-tags/mccain/equipos/600-MX-03
802-MX-05;;https://sites.google.com/view/mccain-tags/mccain/equipos/802-MX-05
400-P-01A;;https://sites.google.com/view/mccain-tags/mccain/equipos/400-P-01A
400-P-01B;;https://sites.google.com/view/mccain-tags/mccain/equipos/400-P-01B
200-MX-01;;https://sites.google.com/view/mccain-tags/mccain/equipos/200-MX-01
450-MX-01;;https://sites.google.com/view/mccain-tags/mccain/equipos/450-MX-01
000-M-02;;https://sites.google.com/view/mccain-tags/mccain/equipos/000-M-02
200-M-01;;https://sites.google.com/view/mccain-tags/mccain/equipos/200-M-01
450-M-01;;https://sites.google.com/view/mccain-tags/mccain/equipos/450-M-01
200-SV-003;;https://sites.google.com/view/mccain-tags/mccain/instrumentos/200-SV-003
